章番号,問題番号,分類名称,問題文,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説
SECT011,Q0010,資産と債務の回転率,資産と債務の回転率に関する次の記述のうち、正しいものはどれですか。,棚卸資産回転率が高いほど、製品や商品が在庫になっている期間が長い。,素材産業や製造業などに比べて、小売業では一般に棚卸資産回転率が高い。,買入債務回転期間は、原材料や商品の仕入れから売上計上までの日数の推計を表している。,資本投下の長期効率性を評価する固定資産回転率は、総資産回転率よりも低い。,【５】-,2,素材産業や製造業などに比べて、小売業では一般に棚卸資産回転率が高い。,1:棚卸資産回転率が高いほど、製品や商品が在庫になっている期間が短い。#2:正しい。#3:買入債務回転期間は、原材料や商品の仕入れから支払いまでの日数を表している。#4:資本投下の長期効率性を評価する固定資産回転率は、総資産回転率よりも高い。
SECT011,Q0020,１株当たり利益,１株当たり利益に関する次の記述のうち、正しくないものはどれですか。,1株当たり利益は普通株式に係る当期純利益を期末株式数で除して算出する。,普通株主に帰属しない金額には、優先配当額が含まれる。,潜在株式について、実際に権利が行使された時は、その株式数を普通株式数に含める。,期中に株式分割が行われた場合は、それが期初に行われたとして株式数を算出する。,【５】-,1,1株当たり利益は普通株式に係る当期純利益を期末株式数で除して算出する。,1株当たり利益は普通株式に関わる当期純利益を期中平均株式数で除して算出する。
SECT011,Q0030,均衡期待収益率,リスクフリー・レートが2.0％、マーケット・リスクプレミアムが6％のとき、株式ベータが1.2の株式の均衡期待収益率について、正しいものはどれですか。 ただし、均衡期待収益率はCAPMに従って形成される。,市場ポートフォリオの期待収益率より高い。,市場ポートフォリオの期待収益率と等しい。,市場ポートフォリオの期待収益率より低い。,市場ポートフォリオの期待収益率との大小関係は一概にはいえない。,【５】-,1,市場ポートフォリオの期待収益率より高い。,市場ポートフォリオのβは1.0となる。よって、市場ポートフォリオの期待リターンは2％＋1.0×6％＝8％となる。#株式の期待リターンは2％＋1.2×6％＝9.2％#ここで用いているCAPMとは多くの株式からなるマーケットをベンチマークとして，個別株式のリスク・リターン関係を表す。 マーケット全体のリスクに対するプレミアムをマーケット・リスクプレミアム（エクイティ・リスクプレミアム）という。 
SECT011,Q0040,配当割引モデルによる理論価格,2012年度末時点で、X社は2013年度と2014年度に無配とするが、2015年度末に1株当たり5円の配当を行い、その後は毎年5％ずつ増配していく予定である。 X社に対する株主の要求収益率が10％で一定とすると、現時点（2012年度末）で配当割引モデルによる理論株価はいくらですか。,50円,75円,83円,91円,【５】-,3,83円,まず2014年度末時点の理論株価（その時点の現在価値）を求める。#X社は配当の成長率gが5％と一定の成長率となり、当初の配当DIV1が5円、株主資本コストが10％ であるので、5/(0.1-0.05)=100円#2013年、2014年は無配であるため、2年分の株主資本コストで割引けば2012年度末時点の理論株価が算出できる。#よって、100/(1+0.1)2=82.64≒83円
SECT011,Q0050,ゼロ成長配当割引モデル,ゼロ成長配当割引モデルについて、現在の理論価格が500円であるとき、1年後の理論株価の期待値はいくらですか。 ただし、リスクフリー・レートは2.0％、株式の均衡期待収益率は5.0％とする。,476円,490円,500円,510円,【５】-,3,500円,０成長率配当割引モデルでは常に配当額が一定であるため、理論株価は変わらない。#実際に計算してみても、配当額＝500×0.05=25円#理論株価＝25/0.05=500円
SECT011,Q0060,企業価値EBITDA比率,Z社の今期の売上高は2000億円、減価償却費は100億円、営業利益は500億円、純利益は200億円、今期末の有利子負債総額は1200億円、株式時価総額 は2400億円とする。このとき、Z社の今期の企業価値EBITDA比率はいくらですか。,４倍,６倍,８倍,９倍,【５】-,3,８倍,企業価値・・・有利子負債総額＋株式時価総額#EBITDA(Earnings before Interests Tax Depreciation and Amortization）・・・営業利益＋減価償却費#企業価値EBITDA比率　＝　企業価値/EBITDA#企業価値＝1200億円＋2400億円＝3600億円#EBITDA＝500億円＋100億円＝600億円#よって、3600億円/600億円＝6
SECT011,Q0070,企業価値EBITDA比率,株式の評価尺度に関する次の記述のうち、正しくないものはどれですか。,PBRは1株当たり自己資本というストックとの比較で株価を評価する尺度である。,負債のある企業を評価する場合、株価EBITDA比率は企業価値EBITDA比率よりも評価指標として適切である。,株価売上高比率はその企業の売上高利益率のノーマルな水準が業界平均や同業他社と同等の水準と考えて株価評価しているといえる。,益回りと債券利回りの差は、株式と債券の相対的な有利さを判断することに使われる。,【５】-,2,負債のある企業を評価する場合、株価EBITDA比率は企業価値EBITDA比率よりも評価指標として適切である。,負債のある企業の場合、負債を考慮した指標である企業価値EBITDA比率を用いる方が適切である。#PBR(Price Book-Value Ration:株価純資産倍率)・・・株価/1株あたり自己資本#企業価値EBITDA比率＝（有利子負債総額＋株式時価総額）/EBITDA#株価EBITDA比率＝株価/1株あたりEBITDA
SECT011,Q0080,CAPM,配当はサステイナブル成長率で永続的に成長すると仮定する。株式の均衡期待収益率（株主の要求期待収益率）は、CAPMに 従って形成されると仮定する。リスクフリー・レートは２％、マーケット・リスクプレミアムは５％である。理論株価の算出には配当割引モデル を用いた時、均衡期待収益率10％の有利子負債のない会社の配当直後の株式ベータはいくらか。,1,1.4,1.6,2,【５】-,3,1.6,CAPM(Capital Asset Pricing Model：資本資産評価モデル):多くの株式からなるマーケットをベンチマークとして，個別株式のリスク・リターン関係を表す。 マーケット全体のリスクに対するプレミアムをマーケット・リスクプレミアム（エクイティ・リスクプレミアム）という。 この計算式によると、10％＝２％＋ベータ×５％よって、ベータ＝８％/５％、これをといて、 ベータ＝１．６となる。
SECT011,Q0090,CAPM,理論株価の算出には配当割引モデル を用いた場合、自己資本簿価1億円、ROE10%、サステナブル成長率ゼロ、均衡期待収益率10％である企業の理論株価として正しいものはどれか。ただしこの企業は配当落ち直後で有利子負債ゼロ、発行済株式数は1億株である。また配当はサステイナブル成長率で今後永続的に成長し、株式の均衡期待収益率（株主の要求期待収益率）はCAPMに 従って形成される。リスクフリー・レートは２％、マーケット・リスクプレミアムは５％である。,100円,500円,800円,1000円,【５】-,4,1000円,この企業のサステイナブル成長率は０なのでゼロ成長率モデルを適用して理論株価を算出する。よって、配当額がわかればよい。#ROE(Return on Equity)・・・株主資本利益率＝当期純利益/株主資本#ROEが10％で自己資本が1000億円なので、当期純利益は100億円であることがわかる。#ゼロ成長率モデルでは当期純利益は全て配当となるので、配当金は100億円となり、1株あたりの 配当金額は100円となる。#ゼロ成長率モデルの理論株価算出式を用いると100/0.1=1000円となる。
SECT011,Q0100,株式の理論株価,自己資本簿価1000億円、ROE10%、サステイナブル成長率４％、均衡期待収益率が8％のとき、この企業の株式の理論株価はいくらですか。ただし、現在は配当落ち直後のデータであり、有利子負債はなく、発行済株式数は1億株とする。 配当はサステイナブル成長率で永続的に成長すると仮定する。株式の均衡期待収益率（株主の要求期待収益率）は、CAPMに 従って形成される。リスクフリー・レートは２％、マーケット・リスクプレミアムは５％である。理論株価の算出には配当割引モデル を用いて良い。,1000円,1500円,2000円,2500円,【５】-,2,1500円,サステイナブル成長率の算出式を用いて配当額を求める。#今期の当期純利益はROEが１０％、自己資本が1000億円なので、1000億円×１０％＝100億円となる。#サステイナブル成長率が４％、ROEが１０％であるから、配当性向は４％＝１０％×（１－配当性向）より、 配当性向＝１－０．４＝０．６＝６０％となり、配当額は６０億円と求まる。#よって、理論株価は60/(0.08-0.04)=1500となる。#サステナブル成長率モデルとは、毎期の配当が一定率で成長するモデルで、理論株価=1株配当/(株主資本コスト-サステナブル成長率)で表現される。
[EOF],,,,,,,,,,,